ident,name,type,latitude,longitude,country code,airport
AAU,Aurangabad,VOR-DME,19.8647,75.3941,IN,VAAU
AB,Alexander Bay,NDB,-28.6189,16.48,ZA,FAAB
AB,Addis Abeba,NDB,8.99737,38.8202,ET,HAAB
AB,Abqaiq,NDB,25.9,49.5833,SA,OEBQ
AB,Atbasar,NDB,51.8833,68.4,KZ,
AB,Abakan,NDB,53.6983,91.35,RU,UNAA
AB,Akraberg,NDB,61.3953,-6.68111,FO,
AB,Podkamennaya Tunguska,NDB,61.5917,89.9417,RU,
ABA,Albany,NDB-DME,-34.9522,117.811,AU,YABA
ABA,Aruba,VOR-DME,12.5098,-69.9407,AW,TNCA
ABB,Abbeville,VOR-DME,50.1351,1.85469,FR,LFOI
ABC,Abuja,VOR-DME,9.0378,7.2851,NG,DNAA
ABD,Abadan,VOR-DME,30.387,48.2176,IR,OIAA
ABD,Abyad,NDB,33.3353,36.4282,SY,OSDI
ABH,Abha,VORTAC,18.2419,42.6569,SA,OEAB
ABI,Djibouti/Ambouli,TACAN,11.5495,43.1546,DJ,HDAM
ABK,Abakan,VOR-DME,53.745,91.385,RU,UNAA
ABL,Ambalema,NDB,4.78389,-74.7675,CO,
ABM,Abumusa Island,NDB,25.8778,55.0229,IR,OIBA
ABN,Albenga,NDB,44.0558,8.22111,IT,LIMG
ABT,Albacete,NDB,38.9441,-1.99767,ES,LEAB
ABU,Abu Argub,VOR-DME,32.4628,13.1694,LY,LY-0019
ABU,Altenburg,NDB,50.9938,12.521,DE,EDAC
ABV,Alexander Bay,VOR-DME,-28.5707,16.5339,ZA,FAAB
AC,Anloc,NDB,10.9392,107.188,VN,
AC,Pleasant Lake,NDB,43.8609,-66.0436,CA,CYQI
ACA,Acapulco,VOR-DME,16.7585,-99.754,MX,MMAA
ACC,Accra,VOR-DME,5.63411,-0.15534,GH,DGAA
ACD,Alcobendas,NDB,40.5857,-3.67651,ES,LEMD
ACJ,Aracaju,NDB,-10.9881,-37.0737,BR,SBAR
ACJ,Aracaju,VOR-DME,-10.984,-37.0714,BR,SBAR
ACO,Atico,NDB,-16.2436,-73.5786,PE,
AD,Adelaide,VOR-DME,-34.9469,138.524,AU,YPAD
AD,Adelaide (DECOMMISSIONED),NDB,-34.9464,138.54601,AU,YPAD
AD,Arandis,NDB,-22.4667,14.9583,,FYAR
AD,Rengat,NDB,-0.34916,102.336,ID,WIBJ
AD,Abidjan,VOR-DME,5.28281,-3.917,CI,DIAP
AD,Aden,NDB,12.8703,45.0056,YE,OYAA
AD,Bateen,NDB,24.4276,54.4559,AE,OMAD
AD,Ashgabat,NDB,38.005,58.3067,TM,UTAA
AD,Andizhan,NDB,40.7333,72.3,UZ,
AD,Sochi,NDB,43.415,39.9317,RU,URSS
AD,Sheremetyevo,NDB,55.9867,37.5017,RU,UUEE
AD,Aldan,NDB,58.6183,125.43,RU,
AD,Anda,NDB,61.8296,6.11594,NO,ENSD
ADA,Aldeia,NDB,-22.823,-42.0965,BR,SBES
ADA,Aldeia,VOR-DME,-22.8128,-42.0953,BR,SBES
ADA,Aguada Grande,NDB,10.6167,-69.2833,VE,
ADA,FRATURK,VORDME,36.94056,35.21028,,
ADA,Adana,VOR-DME,36.9406,35.2103,TR,LTAF
ADA,Adana,NDB,36.9708,35.2617,TR,LTAF
ADL,Sochi,VOR-DME,43.4033,39.9483,RU,URSS
ADM,Agadir,VOR-DME,30.3219,-9.38333,MA,GMAD
ADN,Roberto,VOR-DME,25.8654,-100.239,MX,MMAN
ADN,BOREALIS FRA,VORDME,57.31056,-2.26722,,
ADN,Aberdeen,VOR-DME,57.3106,-2.26722,GB,EGPD
ADO,Puerto Deseado,NDB,-47.7333,-65.9094,AR,SAWD
ADR,Adrar,NDB,27.7853,-0.23028,DZ,DAUA
ADR,Adrar,VOR-DME,27.817,-0.20587,DZ,DAUA
ADS,Addis Abeba,VOR-DME,8.97504,38.7994,ET,HAAB
ADV,Bodø Oceanic FRA,NDB,78.17694,16.0125,,
ADX,Andraitx,NDB,39.5494,2.39586,ES,
ADX,ESPORTFRA,NDB,39.54944,2.39583,,
AE,Abeche,VOR,13.8451,20.845,TD,FTTC
AF,Archerfield,NDB,-27.5703,153.01601,AU,YBAF
AFI,Affligem,VOR-DME,50.9078,4.13889,BE,EBBR
AFM,Manas,TACAN,43.0622,74.4707,KG,UAFM
AFO,Afienou,NDB,5.41114,-2.91647,CI,
AFS,Afonsos,NDB,-22.867,-43.3669,BR,SBAF
AG,Aek Godang,NDB,1.39834,99.429,ID,WIME
AG,Sembawang,NDB,1.42333,103.823,SG,WSAG
AG,Abuja,NDB,9.02804,7.27704,NG,DNAA
AG,Agra,NDB,27.1502,77.9653,IN,VIAG
AG,Agoy,NDB,44.1333,39.0333,RU,
AGB,Augsburg,NDB,48.4243,10.9331,DE,EDMA
AGD,Altenburg,DME,50.9827,12.5123,DE,EDAC
AGG,Agalega,NDB,-10.3667,56.6,MU,
AGG,Agra,VOR-DME,27.1507,77.9475,IN,VIAG
AGH,Anchialos,VOR-DME,39.2162,22.7919,GR,LGBL
AGI,Araguaina,NDB,-7.2335,-48.239,BR,SWGN
AGN,Alagoinhas,NDB,-12.1527,-38.3895,BR,SBSV
AGN,Agen,VOR-DME,43.888,0.87286,FR,
AGN,LFFRASW,DME,43.88806,0.87278,,
AGU,Monteagudo,NDB,-19.8355,-63.9653,BO,SLAG
AGU,Aguascalientes,VOR-DME,21.7114,-102.319,MX,MMAS
AGV,Aggeneys,VOR-DME,-29.4811,18.5625,ZA,
AGV,Acarigua,NDB,9.55169,-69.2329,VE,SVAC
AGV,Acarigua,VOR-DME,9.55475,-69.2362,VE,SVAC
AGZ,Ayaguz,VOR,47.9311,80.4497,KZ,
AH,Antalaha,NDB,-14.9989,50.3179,MG,FMNH
AH,Ahmedabad,NDB,23.1414,72.6997,IN,VAAH
AHO,Alghero,TACAN,40.6361,8.28944,IT,LIEA
AHT,Ashiya,TACAN,33.8883,130.64999,JP,RJFA
AI,Aitutaki,NDB,-18.8248,-159.773,CK,NCAI
AI,Sao Joao,NDB,-1.28133,-44.9033,BR,
AI,Akchi,NDB,43.9722,76.3358,KZ,
AI,Tura,NDB,64.285,100.203,RU,
AIN,Al Ain,NDB,24.2486,55.6043,AE,OMAL
AJ,Ouani,NDB,-12.132,44.4286,KM,FMCV
AJ,Aghajari,NDB,30.75,49.6833,IR,OIAG
AJ,Krasnoyarsk,NDB,56.1933,92.4067,RU,UNKL
AJ,Staritsa,NDB,56.5167,34.9333,RU,UNKL
AJA,Mt Macajna,NDB,13.4549,144.737,GU,PGUM
AJE,Awaji,VOR-DME,34.2703,134.713,JP,
AJF,Al Jouf,VORTAC,29.789,40.0742,SA,OESK
AJO,Ajaccio,VOR-DME,41.7705,8.77467,FR,
AJO,LFFRASE,VORDME,41.77056,8.77472,,
AK,Astra Kesetra,NDB,-4.61242,105.231,ID,WIAG
AK,Akure,NDB,7.22672,5.29322,NG,DNAK
AK,Akeno,NDB,34.5278,136.69701,JP,RJOE
AK,Aleksandrovka,NDB,49.5833,44.3167,RU,
AK,Astana,NDB,51.06,71.5261,KZ,UACC
AK,Abakan,NDB,53.7667,91.405,RU,UNAA
AKB,Aktyubinsk,VOR-DME,50.2631,57.1839,KZ,UATT
AKC,Trabzon,NDB,41.0894,39.4692,TR,LTCG
AKE,Amakusa,VOR-DME,32.481,130.16,JP,RJDA
AKI,Anduki,NDB,4.63028,114.372,BN,
AKI,Akhisar,TACAN,38.8195,27.8272,TR,LTBT
AKI,Akureyri,VOR-DME,65.7597,-18.0042,IS,BIAR
AKJ,Al Kharj,VORTAC,24.0682,47.4076,SA,
AKR,Akrotiri,TACAN,34.5794,32.9628,CY,LCRA
AKT,Akeno,TACAN,34.5285,136.675,JP,RJOE
AKT,Preveza/Aktion,VOR-DME,38.9249,20.7615,GR,
AKT,Aktau,VOR-DME,43.8586,51.1019,KZ,UATE
AKU,Akujarvi,NDB,68.6784,27.6146,FI,EFIV
AL,Malolo,NDB,-17.8256,177.38699,FJ,NFFN
AL,Halim Perdanakusuma,NDB,-6.19396,107.04,ID,WIHH
AL,Embakasi,NDB,-1.37608,36.9191,KE,HKJK
AL,Alabat,NDB,14.2203,121.924,PH,RPLY
AL,Almaty,NDB,43.3826,77.1021,KZ,UAAA
AL,Alushta,NDB,44.6747,34.3968,UA,
AL,Baykit,NDB,61.7067,96.5,RU,
AL,Lepsoy,NDB,62.5961,6.22152,NO,
ALA,Alta,NDB,69.9923,23.2932,NO,ENAT
ALB,Albenga,VOR-DME,44.0482,8.12762,IT,LIMG
ALB,Allersberg,VOR-DME,49.2144,11.2214,DE,
ALC,Alcantara,NDB,-2.3815,-44.3993,BR,SNCW
ALC,Amami,VORTAC,28.4437,129.584,JP,RJKA
ALD,Al Udeid,VORTAC,25.1395,51.3051,QA,OTBH
ALD,Alderney,NDB,49.7089,-2.1997,GG,
ALE,Aleppo,NDB,36.178,37.2066,SY,OSAP
ALE,Aleppo,VOR-DME,36.1792,37.2096,SY,OSAP
ALF,Alster,DME,53.6353,9.99414,DE,EDDH
ALG,Ciudad Del Este,NDB,-25.3697,-54.7614,PY,SGES
ALG,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,VORTAC,40.62806,8.24389,,
ALG,Alghero,VORTAC,40.6281,8.24389,IT,LIEA
ALG,Alghero,NDB,40.64,8.29167,IT,LIEA
ALI,Aligarh,VOR-DME,27.8293,78.1783,IN,
ALI,Cairo,NDB,30.1669,31.385,EG,HECA
ALM,Al Hoceima,VOR-DME,35.1911,-3.84173,MA,GMTA
ALM,Almaty,VOR-DME,43.3744,77.0858,KZ,UAAA
ALM,Aix Les Milles,NDB,43.5078,5.36047,FR,LFMA
ALM,Alma,VOR,55.4113,13.5575,SE,
ALN,Al Ain,VOR-DME,24.2598,55.6064,AE,OMAL
ALP,Alexandroupolis,NDB,40.8575,25.9442,GR,LGAL
ALR,Alger,VOR-DME,36.6911,3.21556,DZ,DAAG
ALS,Agadir,NDB,30.3203,-9.31944,MA,GMAD
ALS,BOREALIS FRA,VOR,54.90528,9.99333,,
ALS,Alsie,VOR,54.9054,9.99338,DK,
ALT,Alicante,VOR-DME,38.2683,-0.57011,ES,LEAL
ALT,ESPORTFRA,VORDME,38.26833,-0.57,,
ALU,Al Hoceima,NDB,35.1812,-3.84456,MA,GMTA
ALX,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,VORDME,40.85389,25.95667,,
ALX,Alexandroupolis,VOR-DME,40.855,25.9572,GR,LGAL
AM,Ambriz,NDB,-7.83333,13.1,AO,FNAM
AM,Amahai,NDB,-3.3475,128.92599,ID,WAPA
AM,Malacca,NDB,2.26656,102.253,MY,WMKM
AM,Arba Minch,NDB,6.05769,37.6024,ET,HAAM
AM,Gialam,NDB,20.9889,105.861,VN,
AM,Almeria,NDB,36.8758,-2.23991,ES,LEAM
AM,Kazan,NDB,55.6317,49.2083,RU,UWKD
AM,Surgut,NDB,61.3433,73.5067,RU,USRR
AM,Verkhneimbatsk,NDB,63.1667,88.0,RU,
AM,Markovo,NDB,64.6683,170.31,RU,
AMB,Santiago,VOR-DME,-33.4197,-70.7844,CL,SCEL
AMB,Amberley,NDB,-27.6489,152.724,AU,YAMB
AMB,Amberley,TACAN,-27.6417,152.716,AU,YAMB
AMB,Ambato,NDB,-1.21324,-78.5766,EC,SEAM
AMB,Amboise,NDB,47.4182,1.041,FR,LFOT
AMB,LFFRAN,DME,47.42889,1.06444,,
AMB,Amboise,VOR-DME,47.4289,1.06444,FR,LFOT
AME,Kasari,VOR-DME,28.4347,129.711,JP,RJKA
AME,Amendola,NDB,41.5,15.8378,IT,LIBA
AMK,Andamooka,NDB,-30.4535,137.16701,AU,YAMK
AML,Agadir,NDB,30.3236,-9.45472,MA,GMAD
AML,Amalias,NDB,37.7747,21.3467,GR,LGAD
AML,Andravida,TACAN,37.9297,21.2847,GR,LGAD
AMN,Ambon,VOR-DME,-3.61492,128.186,ID,WAPP
AMN,Amman,VOR-DME,32.0041,36.066,JO,OJAM
AMN,Almeria,NDB,36.8484,-2.37916,ES,LEAM
AMP,Amapa,NDB,2.06883,-50.8605,BR,SBAM
AMR,ESPORTFRA,VORDME,36.83306,-2.25944,,
AMR,Almeria,VOR-DME,36.8332,-2.25942,ES,LEAM
AMS,Amsterdam,VOR-DME,52.3328,4.70556,NL,
AMU,Amberieu,TACAN,45.9886,5.33125,FR,LFXA
AMV,Ambato,VOR-DME,-1.28589,-78.5463,EC,SEAM
AN,Hiva Oa,NDB,-9.75222,-139.00101,PF,NTMN
AN,Kuching,NDB,1.71831,110.309,MY,WBGG
AN,Abidjan,NDB,5.34908,-3.89042,CI,DIAP
AN,Anuradhapura,NDB,8.30361,80.4297,LK,VCCA
AN,Ann,NDB,19.7703,94.0402,MM,VYTD
